epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7657,1.58098,3.48597,1.56001,0.01342,0.66214,0.13788,0.08871,1.56448,3.76798,1.74011,0.00025,0.00025,0.00025
2,42.1227,1.63203,2.98521,1.58886,0.0106,0.65492,0.20326,0.12326,1.6966,3.73016,1.79426,0.000502353,0.000502353,0.000502353
3,58.5799,1.71699,2.69804,1.59616,0.46918,0.22161,0.25922,0.15324,1.89235,3.54411,1.89633,0.00074431,0.00074431,0.00074431
4,74.2708,1.71135,2.53517,1.58818,0.38963,0.23113,0.23639,0.12461,2.33321,3.69194,2.16438,0.000975872,0.000975872,0.000975872
5,90.3042,1.70852,2.36036,1.57769,0.31976,0.21433,0.18838,0.10188,2.33983,3.70401,2.37909,0.001151,0.001151,0.001151
6,112.302,1.69058,2.32585,1.58608,0.52807,0.29625,0.28637,0.14082,2.08145,3.13297,2.27192,0.00112625,0.00112625,0.00112625
7,129.01,1.63031,2.21201,1.54643,0.39051,0.377,0.29369,0.18299,1.98512,3.14045,1.8595,0.0011015,0.0011015,0.0011015
8,146.345,1.55976,2.11201,1.50135,0.65571,0.40031,0.43392,0.26951,1.89221,2.86061,1.96907,0.00107675,0.00107675,0.00107675
9,169.184,1.59552,2.09886,1.51914,0.63953,0.39685,0.42234,0.28648,1.73858,2.87015,1.83835,0.001052,0.001052,0.001052
10,191.445,1.56663,2.03932,1.496,0.60467,0.38617,0.4222,0.28665,1.71301,2.66589,1.79474,0.00102725,0.00102725,0.00102725
11,208.061,1.54648,2.01413,1.51061,0.62227,0.35579,0.42821,0.30989,1.68179,2.75132,1.6558,0.0010025,0.0010025,0.0010025
12,225.11,1.52539,1.99734,1.50684,0.56289,0.45976,0.45846,0.29532,1.91027,2.58074,1.89104,0.00097775,0.00097775,0.00097775
13,242.992,1.52584,1.9972,1.50613,0.66259,0.39109,0.43198,0.30277,1.87112,2.73797,1.94931,0.000953,0.000953,0.000953
14,267.528,1.48355,1.90971,1.49299,0.63933,0.45327,0.4819,0.33651,1.87336,2.51257,1.86735,0.00092825,0.00092825,0.00092825
15,283.503,1.45844,1.89448,1.45144,0.60368,0.58078,0.51166,0.34775,1.81543,2.43664,1.74297,0.0009035,0.0009035,0.0009035
16,300.932,1.45639,1.87058,1.47463,0.61397,0.4748,0.4766,0.34325,1.75167,2.66346,1.75228,0.00087875,0.00087875,0.00087875
17,320.502,1.43271,1.79539,1.43855,0.65859,0.45556,0.48374,0.32383,1.82895,2.53459,1.78215,0.000854,0.000854,0.000854
18,337.382,1.46669,1.83636,1.47257,0.73131,0.50977,0.53202,0.36919,1.62466,2.19143,1.705,0.00082925,0.00082925,0.00082925
19,354.245,1.41376,1.79566,1.45049,0.70215,0.52588,0.55113,0.38266,1.62381,2.34043,1.68655,0.0008045,0.0008045,0.0008045
20,371.198,1.39741,1.80414,1.45503,0.58017,0.49073,0.46477,0.33596,1.69272,2.38743,1.70349,0.00077975,0.00077975,0.00077975
