epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9723,1.69376,3.29623,1.31356,0.00327,0.98039,0.43347,0.17753,1.79878,3.82468,1.38719,0.00022,0.00022,0.00022
2,20.4362,1.79741,2.60275,1.36644,0.00327,0.98039,0.36629,0.16056,1.85258,3.85772,1.50722,0.000455446,0.000455446,0.000455446
3,26.486,1.83543,2.33682,1.38292,0.00327,0.98039,0.24171,0.1059,1.791,4.02631,1.53203,0.00068614,0.00068614,0.00068614
4,32.5331,1.86354,2.53325,1.42646,0.03205,0.92157,0.24534,0.07076,2.18213,3.98159,1.90891,0.000912082,0.000912082,0.000912082
5,38.4471,1.92298,2.53425,1.47474,0.29472,0.15686,0.14377,0.04253,2.29918,4.50033,2.3946,0.00113327,0.00113327,0.00113327
6,44.4923,1.94797,2.49273,1.46505,0.25928,0.35294,0.2053,0.05469,2.43297,4.26246,2.20353,0.00134971,0.00134971,0.00134971
7,50.4625,1.92515,2.44385,1.44578,0.10035,0.19608,0.06769,0.02521,2.66464,4.90827,2.25205,0.0015614,0.0015614,0.0015614
8,56.6846,1.85267,2.28672,1.4543,0.24783,0.13725,0.129,0.03008,2.59155,4.27086,2.57885,0.00176833,0.00176833,0.00176833
9,62.5906,1.94872,2.27162,1.43267,0.1534,0.27451,0.12215,0.02867,3.12053,5.12541,3.42893,0.0018416,0.0018416,0.0018416
10,68.4293,2.00875,2.31006,1.46477,0.24639,0.15686,0.08437,0.019,3.16944,5.05829,2.74597,0.0018218,0.0018218,0.0018218
11,74.3872,1.9117,2.21862,1.46323,0.06738,0.17647,0.03063,0.01124,2.81666,6.74757,2.43993,0.001802,0.001802,0.001802
12,80.3183,1.96096,2.08198,1.50216,0.00572,0.19608,0.00259,0.00063,3.75077,17.8702,3.44846,0.0017822,0.0017822,0.0017822
13,86.5059,1.97738,2.13093,1.53425,0.02178,0.54902,0.01608,0.00581,2.69566,13.6793,2.31063,0.0017624,0.0017624,0.0017624
14,92.5716,1.93926,2.00097,1.45824,0.21554,0.2549,0.20093,0.06657,2.2151,5.27408,1.91061,0.0017426,0.0017426,0.0017426
15,98.5219,1.7709,1.93562,1.42428,0.13318,0.21569,0.07333,0.01584,2.87251,5.73712,2.00482,0.0017228,0.0017228,0.0017228
16,104.347,1.90285,1.93273,1.44547,0.3551,0.31373,0.22359,0.0896,2.54271,5.94533,1.96423,0.001703,0.001703,0.001703
17,110.483,1.907,1.84139,1.43101,0.41275,0.27451,0.2173,0.05482,2.33754,5.29081,1.83371,0.0016832,0.0016832,0.0016832
18,116.706,1.91655,1.82733,1.44191,0.34559,0.54902,0.29568,0.12161,2.11302,3.73299,1.65258,0.0016634,0.0016634,0.0016634
19,122.723,1.83424,1.76863,1.44394,0.41345,0.41176,0.3522,0.11079,2.24767,3.58708,1.77203,0.0016436,0.0016436,0.0016436
20,128.87,1.81787,1.8003,1.41075,0.60945,0.56863,0.61176,0.21118,1.91672,3.35805,1.49479,0.0016238,0.0016238,0.0016238
21,135.001,1.78375,1.71143,1.38414,0.3258,0.70588,0.35059,0.10116,2.02854,2.83234,1.5036,0.001604,0.001604,0.001604
22,141.192,1.71813,1.64125,1.35399,0.39912,0.43137,0.32398,0.12332,1.91127,2.87926,1.55253,0.0015842,0.0015842,0.0015842
23,147.425,1.70655,1.66438,1.32822,0.50728,0.58824,0.62963,0.24066,1.86539,2.35574,1.43795,0.0015644,0.0015644,0.0015644
24,153.495,1.72934,1.63093,1.40585,0.66402,0.60784,0.74855,0.33107,1.76581,2.17273,1.43501,0.0015446,0.0015446,0.0015446
25,159.51,1.74632,1.58609,1.32003,0.64015,0.64706,0.74495,0.24352,1.91431,1.77952,1.36902,0.0015248,0.0015248,0.0015248
26,165.645,1.67431,1.52735,1.31838,0.75762,0.76471,0.8181,0.31072,1.90953,1.74477,1.34976,0.001505,0.001505,0.001505
27,171.603,1.70732,1.53028,1.35555,0.59905,0.58596,0.68542,0.27292,1.86295,1.94983,1.39384,0.0014852,0.0014852,0.0014852
28,177.511,1.61859,1.56389,1.3321,0.63496,0.57991,0.63243,0.26149,1.7037,2.11606,1.32805,0.0014654,0.0014654,0.0014654
29,183.382,1.69083,1.55333,1.3617,0.45061,0.58824,0.47568,0.15066,1.91308,2.00126,1.33887,0.0014456,0.0014456,0.0014456
30,189.124,1.67446,1.50369,1.32051,0.57512,0.56863,0.63047,0.24948,1.85008,1.82442,1.28932,0.0014258,0.0014258,0.0014258
31,194.92,1.56125,1.45651,1.28966,0.54701,0.62745,0.56704,0.19688,2.07514,1.94051,1.42094,0.001406,0.001406,0.001406
32,200.765,1.53887,1.41311,1.28616,0.64607,0.82323,0.7544,0.26164,1.75255,1.5801,1.29933,0.0013862,0.0013862,0.0013862
33,206.554,1.57362,1.41196,1.26872,0.64496,0.89057,0.7613,0.25251,1.92237,1.52642,1.34048,0.0013664,0.0013664,0.0013664
34,212.384,1.56915,1.43444,1.26061,0.71233,0.7451,0.82881,0.43437,1.53444,1.4611,1.22178,0.0013466,0.0013466,0.0013466
35,218.421,1.57555,1.35128,1.22688,0.76624,0.707,0.85951,0.45396,1.55118,1.41609,1.17659,0.0013268,0.0013268,0.0013268
36,224.188,1.57748,1.41579,1.25253,0.66691,0.90296,0.88596,0.42164,1.66804,1.35226,1.21329,0.001307,0.001307,0.001307
37,230.165,1.64755,1.37138,1.27148,0.72755,0.78543,0.82369,0.3476,1.70613,1.38292,1.18096,0.0012872,0.0012872,0.0012872
38,236.131,1.56551,1.35615,1.24735,0.63179,0.78431,0.65398,0.25442,1.70872,1.69909,1.19831,0.0012674,0.0012674,0.0012674
39,241.925,1.51406,1.3402,1.23505,0.75886,0.88235,0.88244,0.37228,1.6012,1.47402,1.21244,0.0012476,0.0012476,0.0012476
40,247.797,1.56119,1.35301,1.26498,0.57082,0.92157,0.76684,0.3219,1.67443,1.53149,1.20613,0.0012278,0.0012278,0.0012278
41,253.691,1.54871,1.33173,1.23754,0.79828,0.94118,0.88695,0.38879,1.63385,1.43129,1.1894,0.001208,0.001208,0.001208
42,259.471,1.49581,1.31088,1.18926,0.81781,0.88018,0.91498,0.5263,1.52753,1.31359,1.14464,0.0011882,0.0011882,0.0011882
43,265.256,1.46969,1.30347,1.19775,0.73991,0.84314,0.78077,0.38266,1.63671,1.3091,1.18646,0.0011684,0.0011684,0.0011684
44,271.06,1.45927,1.26692,1.21317,0.86934,0.90196,0.89822,0.45605,1.55004,1.24312,1.17584,0.0011486,0.0011486,0.0011486
45,276.872,1.52398,1.27676,1.22425,0.84528,0.85708,0.89645,0.4188,1.50264,1.44565,1.16637,0.0011288,0.0011288,0.0011288
46,282.695,1.42091,1.22743,1.19641,0.81771,0.94118,0.87197,0.3753,1.60233,1.22791,1.18955,0.001109,0.001109,0.001109
47,288.479,1.53255,1.24848,1.25129,0.91754,0.90196,0.93609,0.45105,1.5236,1.20191,1.1102,0.0010892,0.0010892,0.0010892
48,294.343,1.44153,1.22448,1.1739,0.91662,0.94118,0.95926,0.47006,1.52869,1.20328,1.11072,0.0010694,0.0010694,0.0010694
49,300.343,1.41552,1.17426,1.17937,0.85754,0.94118,0.91282,0.37893,1.63925,1.26638,1.14118,0.0010496,0.0010496,0.0010496
50,306.349,1.43784,1.16193,1.20036,0.85858,0.92157,0.97019,0.43439,1.62399,1.18498,1.15253,0.0010298,0.0010298,0.0010298
51,312.367,1.4609,1.21235,1.20305,0.84981,0.84314,0.88331,0.41274,1.55197,1.27937,1.17054,0.00101,0.00101,0.00101
52,318.391,1.37105,1.16405,1.16396,0.89626,0.90196,0.915,0.43808,1.48772,1.22191,1.15294,0.0009902,0.0009902,0.0009902
53,324.343,1.46259,1.16132,1.18595,0.93538,0.85157,0.95569,0.47984,1.54159,1.15887,1.14187,0.0009704,0.0009704,0.0009704
54,330.297,1.50925,1.17712,1.1845,0.85138,0.92157,0.93828,0.4866,1.502,1.14651,1.13647,0.0009506,0.0009506,0.0009506
55,336.279,1.40712,1.15073,1.17762,0.7897,0.86275,0.90203,0.46734,1.46168,1.16487,1.13357,0.0009308,0.0009308,0.0009308
56,342.298,1.35939,1.13058,1.14126,0.82161,0.9031,0.93215,0.44489,1.59334,1.20559,1.14904,0.000911,0.000911,0.000911
57,348.285,1.3607,1.13895,1.15532,0.83376,0.88513,0.9113,0.4797,1.51648,1.11858,1.10463,0.0008912,0.0008912,0.0008912
58,354.27,1.34849,1.08552,1.11561,0.88659,0.91972,0.94252,0.49911,1.46869,1.08957,1.09239,0.0008714,0.0008714,0.0008714
59,360.324,1.37036,1.10583,1.12935,0.87478,0.95891,0.95126,0.50943,1.44358,1.06162,1.10056,0.0008516,0.0008516,0.0008516
60,366.25,1.30103,1.03034,1.11344,0.93966,0.91618,0.95946,0.5112,1.54359,1.07943,1.10213,0.0008318,0.0008318,0.0008318
