epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8754,1.58098,3.48597,1.56001,0.01342,0.66214,0.13788,0.08871,1.56448,3.76798,1.74011,0.00025,0.00025,0.00025
2,43.1776,1.63648,2.98102,1.58889,0.01043,0.65638,0.24514,0.15388,1.62311,3.68319,1.74613,0.000509118,0.000509118,0.000509118
3,60.4623,1.6917,2.64982,1.59115,0.48419,0.10039,0.19768,0.10361,1.863,3.648,1.82874,0.00076477,0.00076477,0.00076477
4,77.0891,1.74758,2.54507,1.59878,0.48109,0.22187,0.24513,0.14612,2.29322,3.61087,2.20665,0.00101696,0.00101696,0.00101696
5,93.7946,1.71261,2.38555,1.58649,0.42063,0.25331,0.25436,0.13617,2.17341,3.48948,2.17776,0.001217,0.001217,0.001217
6,116.008,1.7318,2.34865,1.59762,0.47583,0.2926,0.27543,0.15027,2.05984,3.34058,2.1453,0.00120875,0.00120875,0.00120875
7,132.584,1.67112,2.24508,1.56254,0.37446,0.31816,0.27008,0.1398,2.041,3.24127,2.05304,0.0012005,0.0012005,0.0012005
8,149.891,1.61715,2.14241,1.53554,0.49623,0.37761,0.35128,0.21788,1.91562,3.27712,1.9941,0.00119225,0.00119225,0.00119225
9,172.132,1.60476,2.1048,1.52924,0.66946,0.44208,0.44922,0.28351,1.75423,2.9434,1.77809,0.001184,0.001184,0.001184
10,194.24,1.57399,2.04047,1.50668,0.4089,0.4773,0.32679,0.19168,1.75438,3.23045,1.80043,0.00117575,0.00117575,0.00117575
11,210.428,1.57813,2.02573,1.51629,0.60958,0.43155,0.43973,0.27528,1.72475,2.75498,1.80293,0.0011675,0.0011675,0.0011675
12,227.236,1.58334,2.02531,1.53059,0.56736,0.4283,0.41435,0.25541,1.82725,2.87401,1.82015,0.00115925,0.00115925,0.00115925
13,245.036,1.55143,2.02137,1.53078,0.5726,0.42927,0.41729,0.27539,1.78745,2.74912,1.80622,0.001151,0.001151,0.001151
14,267.002,1.50534,1.92374,1.48956,0.53697,0.38594,0.37049,0.25969,1.75658,2.73067,1.75294,0.00114275,0.00114275,0.00114275
15,288.775,1.50185,1.93016,1.48398,0.70676,0.48959,0.50482,0.3103,1.70148,2.33397,1.70003,0.0011345,0.0011345,0.0011345
16,305.039,1.52657,1.95545,1.50144,0.61031,0.41585,0.44789,0.30511,1.74415,2.63151,1.77877,0.00112625,0.00112625,0.00112625
17,320.827,1.51769,1.87019,1.47434,0.67354,0.44579,0.44703,0.31329,1.60599,2.55632,1.7323,0.001118,0.001118,0.001118
18,339.823,1.50999,1.88922,1.49972,0.6512,0.48254,0.48429,0.33417,1.58925,2.36347,1.73283,0.00110975,0.00110975,0.00110975
19,356.904,1.4698,1.85208,1.48362,0.55858,0.49141,0.45422,0.28774,1.70656,2.46599,1.66147,0.0011015,0.0011015,0.0011015
20,374.342,1.48021,1.85757,1.48773,0.56544,0.43664,0.41106,0.27327,1.76156,2.53178,1.73693,0.00109325,0.00109325,0.00109325
21,390.72,1.4328,1.77285,1.44333,0.69192,0.48517,0.46585,0.33107,1.75903,2.24552,1.78259,0.001085,0.001085,0.001085
22,409.977,1.45282,1.84001,1.49865,0.63831,0.51603,0.44239,0.31219,1.82113,2.22067,1.80426,0.00107675,0.00107675,0.00107675
23,425.154,1.43718,1.79372,1.46667,0.67852,0.51099,0.46707,0.3291,1.71238,2.71735,1.73902,0.0010685,0.0010685,0.0010685
24,439.564,1.44858,1.78691,1.477,0.7581,0.52325,0.55611,0.40658,1.66914,2.12854,1.68057,0.00106025,0.00106025,0.00106025
25,457.113,1.41329,1.72193,1.45128,0.60804,0.51283,0.47084,0.34644,1.67045,2.43058,1.72151,0.001052,0.001052,0.001052
26,478.901,1.43737,1.75037,1.45089,0.61969,0.55931,0.52626,0.36803,1.55712,2.05291,1.62298,0.00104375,0.00104375,0.00104375
27,495.74,1.36851,1.67702,1.41778,0.8144,0.51965,0.55002,0.41218,1.47894,2.08041,1.6221,0.0010355,0.0010355,0.0010355
28,513.009,1.38536,1.68296,1.4209,0.66697,0.48264,0.43267,0.29404,1.65986,2.31892,1.69301,0.00102725,0.00102725,0.00102725
29,528.877,1.38379,1.65018,1.40717,0.60954,0.53285,0.48866,0.35141,1.75546,2.3971,1.73739,0.001019,0.001019,0.001019
30,544.995,1.40417,1.72055,1.44588,0.65338,0.55265,0.54189,0.41144,1.63461,2.17347,1.72815,0.00101075,0.00101075,0.00101075
31,560.568,1.37142,1.65472,1.43922,0.68853,0.56307,0.56007,0.42531,1.6288,2.03417,1.74286,0.0010025,0.0010025,0.0010025
32,577.445,1.35414,1.66074,1.40915,0.75787,0.50052,0.53376,0.38562,1.51973,2.08023,1.59766,0.00099425,0.00099425,0.00099425
33,594.137,1.37522,1.67228,1.42417,0.78893,0.44911,0.50638,0.35843,1.61665,2.19484,1.67202,0.000986,0.000986,0.000986
34,615.434,1.35347,1.65044,1.42098,0.78812,0.55843,0.57016,0.42342,1.41334,2.0541,1.57376,0.00097775,0.00097775,0.00097775
35,636.673,1.35018,1.60763,1.42593,0.78273,0.53785,0.55829,0.40301,1.48345,1.96187,1.60402,0.0009695,0.0009695,0.0009695
36,653.282,1.31421,1.59937,1.40321,0.65998,0.56258,0.52616,0.39517,1.49863,2.11289,1.59641,0.00096125,0.00096125,0.00096125
37,670.026,1.34919,1.63033,1.42201,0.83534,0.52588,0.57263,0.44429,1.47472,1.83403,1.60949,0.000953,0.000953,0.000953
38,690.543,1.28386,1.55731,1.38343,0.72091,0.58169,0.5556,0.4072,1.59631,2.06013,1.68606,0.00094475,0.00094475,0.00094475
